order_id,customer_id,order_date,product_id,quantity,total_amount,payment_status,payment_method
ORD0001,CUST056,2023-01-29,PROD008,2,70000,Failed,Cash
ORD0002,CUST155,2023-09-18,PROD006,4,100000,Completed,POS
ORD0003,CUST080,2024-04-29,PROD006,5,125000,Completed,Transfer
ORD0004,CUST075,2023-03-15,PROD009,2,24000,Completed,POS
ORD0005,CUST200,2023-09-25,PROD002,3,15000,Pending,Cash
ORD0006,CUST190,2023-06-14,PROD001,1,15000,Failed,Transfer
ORD0007,CUST109,2024-06-29,PROD008,4,140000,Completed,Transfer
ORD0008,CUST045,2023-09-17,PROD003,2,16000,Failed,POS
ORD0009,CUST082,2023-09-12,PROD001,2,30000,Pending,POS
ORD0010,CUST160,2023-01-10,PROD010,1,20000,Failed,POS
ORD0011,CUST118,2023-06-13,PROD001,4,60000,Pending,POS
ORD0012,CUST178,2023-02-25,PROD002,1,5000,Pending,POS
ORD0013,CUST054,2023-06-06,PROD003,4,32000,Completed,Transfer
ORD0014,CUST176,2023-01-30,PROD007,1,18000,Failed,Cash
ORD0015,CUST148,2023-11-22,PROD010,4,80000,Failed,POS
ORD0016,CUST146,2024-06-25,PROD009,1,12000,Pending,POS
ORD0017,CUST045,2024-02-01,PROD002,3,15000,Failed,Cash
ORD0018,CUST168,2023-06-06,PROD009,3,36000,Completed,Transfer
ORD0019,CUST102,2023-07-19,PROD001,1,15000,Failed,POS
ORD0020,CUST181,2023-09-19,PROD006,1,25000,Pending,Cash
ORD0021,CUST009,2024-01-16,PROD002,3,15000,Completed,Transfer
ORD0022,CUST126,2024-05-23,PROD007,4,72000,Failed,Transfer
ORD0023,CUST121,2023-01-01,PROD009,5,60000,Pending,Cash
ORD0024,CUST116,2023-06-07,PROD001,5,75000,Failed,POS
ORD0025,CUST176,2023-06-18,PROD001,2,30000,Pending,Cash
ORD0026,CUST176,2024-06-26,PROD002,3,15000,Completed,Cash
ORD0027,CUST047,2024-03-07,PROD004,3,9000,Pending,Transfer
ORD0028,CUST164,2023-09-25,PROD007,2,36000,Pending,POS
ORD0029,CUST128,2023-12-19,PROD004,5,15000,Pending,Transfer
ORD0030,CUST082,2023-09-05,PROD001,5,75000,Completed,POS
ORD0031,CUST036,2023-02-03,PROD005,1,4000,Completed,Transfer
ORD0032,CUST051,2023-05-07,PROD004,3,9000,Completed,Cash
ORD0033,CUST025,2023-10-16,PROD006,5,125000,Failed,Cash
ORD0034,CUST021,2024-02-07,PROD005,4,16000,Completed,Cash
ORD0035,CUST154,2023-01-24,PROD006,4,100000,Failed,Cash
ORD0036,CUST085,2023-09-25,PROD009,4,48000,Completed,Transfer
ORD0037,CUST022,2023-01-04,PROD005,1,4000,Completed,POS
ORD0038,CUST141,2024-01-12,PROD002,4,20000,Failed,Transfer
ORD0039,CUST043,2023-10-23,PROD010,2,40000,Completed,Transfer
ORD0040,CUST199,2024-02-23,PROD001,1,15000,Pending,Transfer
ORD0041,CUST028,2023-04-05,PROD003,1,8000,Completed,Cash
ORD0042,CUST171,2023-12-07,PROD009,3,36000,Pending,POS
ORD0043,CUST048,2023-06-21,PROD007,2,36000,Pending,Transfer
ORD0044,CUST071,2023-03-19,PROD007,2,36000,Pending,Transfer
ORD0045,CUST114,2023-06-10,PROD001,2,30000,Failed,Cash
ORD0046,CUST144,2024-06-25,PROD005,5,20000,Pending,Cash
ORD0047,CUST107,2023-06-25,PROD004,1,3000,Pending,Cash
ORD0048,CUST054,2023-06-11,PROD009,5,60000,Completed,POS
ORD0049,CUST043,2023-07-11,PROD006,4,100000,Pending,Cash
ORD0050,CUST085,2024-01-12,PROD008,1,35000,Failed,Transfer
ORD0051,CUST100,2023-01-30,PROD008,1,35000,Failed,Cash
